Region,Date,Cases
Acores,2021-06-02,5464
Acores,2021-06-03,5494
Acores,2021-06-04,5520
Acores,2021-06-05,5542
Acores,2021-06-06,5563
Acores,2021-06-07,5589
Acores,2021-06-08,5603
Acores,2021-06-09,5628
Acores,2021-06-10,5666
Acores,2021-06-11,5703
Acores,2021-06-12,5747
Acores,2021-06-13,5774
Acores,2021-06-14,5799
Acores,2021-06-15,5827
Acores,2021-06-16,5843
Acores,2021-06-17,5863
Acores,2021-06-18,5890
Acores,2021-06-19,5927
Acores,2021-06-20,5957
Acores,2021-06-21,5980
Acores,2021-06-22,6024
Acores,2021-06-23,6043
Acores,2021-06-24,6063
Acores,2021-06-25,6064
Acores,2021-06-26,6076
Acores,2021-06-27,6080
Acores,2021-06-28,6097
Acores,2021-06-29,6144
Acores,2021-06-30,6179
Acores,2021-07-01,6202
Acores,2021-07-02,6218
Acores,2021-07-03,6247
Acores,2021-07-04,6299
Acores,2021-07-05,6331
Acores,2021-07-06,6340
Acores,2021-07-07,6377
Acores,2021-07-08,6418
Acores,2021-07-09,6466
Acores,2021-07-10,6519
Acores,2021-07-11,6550
Acores,2021-07-12,6590
Acores,2021-07-13,6598
Acores,2021-07-14,6640
Acores,2021-07-15,6680
Acores,2021-07-16,6730
Acores,2021-07-17,6771
Acores,2021-07-18,6814
Acores,2021-07-19,6846
Acores,2021-07-20,6869
Acores,2021-07-21,6932
Acores,2021-07-22,6977
Acores,2021-07-23,7060
Acores,2021-07-24,7132
Acores,2021-07-25,7172
Acores,2021-07-26,7230
Acores,2021-07-27,7264
Acores,2021-07-28,7321
Acores,2021-07-29,7387
Acores,2021-07-30,7443
Acores,2021-07-31,7486
Acores,2021-08-01,7534
Acores,2021-08-02,7584
Acores,2021-08-03,7603
Acores,2021-08-04,7667
Acores,2021-08-05,7714
Acores,2021-08-06,7756
Acores,2021-08-07,7829
Acores,2021-08-08,7870
Acores,2021-08-09,7898
Acores,2021-08-10,7961
Acores,2021-08-11,8017
Acores,2021-08-12,8048
Acores,2021-08-13,8101
Acores,2021-08-14,8130
Acores,2021-08-15,8181
Acores,2021-08-16,8226
Acores,2021-08-17,8229
Acores,2021-08-18,8272
Acores,2021-08-19,8310
Acores,2021-08-20,8343
Acores,2021-08-21,8391
Acores,2021-08-22,8417
Acores,2021-08-23,8427
Acores,2021-08-24,8440
Acores,2021-08-25,8457
Acores,2021-08-26,8473
Acores,2021-08-27,8498
Acores,2021-08-28,8516
Acores,2021-08-29,8524
Acores,2021-08-30,8532
Acores,2021-08-31,8541
Acores,2021-09-01,8557
Acores,2021-09-02,8567
Acores,2021-09-03,8568
Acores,2021-09-04,8575
Acores,2021-09-05,8583
Acores,2021-09-06,8588
Acores,2021-09-07,8594
Acores,2021-09-08,8607
Acores,2021-09-09,8620
Acores,2021-09-10,8634
Acores,2021-09-11,8639
Acores,2021-09-12,8653
Acores,2021-09-13,8660
Acores,2021-09-14,8666
Acores,2021-09-15,8679
Acores,2021-09-16,8691
Acores,2021-09-17,8697
Acores,2021-09-18,8708
Acores,2021-09-19,8729
Acores,2021-09-20,8737
Acores,2021-09-21,8745
Acores,2021-09-22,8754
Acores,2021-09-23,8756
Acores,2021-09-24,8781
Acores,2021-09-25,8792
Acores,2021-09-26,8801
Acores,2021-09-27,8806
Acores,2021-09-28,8827
Acores,2021-09-29,8840
Acores,2021-09-30,8850
Acores,2021-10-01,8862
Acores,2021-10-02,8882
Acores,2021-10-03,8898
Acores,2021-10-04,8901
Acores,2021-10-05,8923
Acores,2021-10-06,8935
Acores,2021-10-07,8938
Acores,2021-10-08,9002
Acores,2021-10-09,9015
Acores,2021-10-10,9017
Acores,2021-10-11,9028
Acores,2021-10-12,9040
Acores,2021-10-13,9050
Acores,2021-10-14,9069
Acores,2021-10-15,9097
Acores,2021-10-16,9100
Acores,2021-10-17,9117
Acores,2021-10-18,9139
Acores,2021-10-19,9147
Acores,2021-10-20,9163
