,index,Country,Date,ML,Low_90,High_90,Low_50,High_50,prevista
0,0,Portugal,2020-03-13,3.5,1.56,5.2,2.63,4.13,2020-09-01 00:00:00
1,1,Portugal,2020-03-14,3.48,2.22,4.59,2.97,3.94,2020-09-01 00:00:00
2,2,Portugal,2020-03-15,3.34,2.38,4.19,2.95,3.69,2020-09-01 00:00:00
3,3,Portugal,2020-03-16,3.11,2.31,3.81,2.73,3.35,2020-09-01 00:00:00
4,4,Portugal,2020-03-17,2.92,2.21,3.52,2.59,3.13,2020-09-01 00:00:00
5,5,Portugal,2020-03-18,2.71,2.08,3.26,2.4,2.89,2020-09-01 00:00:00
6,6,Portugal,2020-03-19,2.57,1.98,3.0700000000000003,2.28,2.73,2020-09-01 00:00:00
7,7,Portugal,2020-03-20,2.51,1.98,2.99,2.24,2.66,2020-09-01 00:00:00
8,8,Portugal,2020-03-21,2.33,1.82,2.77,2.1,2.49,2020-09-01 00:00:00
9,9,Portugal,2020-03-22,2.3000000000000003,1.84,2.73,2.07,2.44,2020-09-01 00:00:00
10,10,Portugal,2020-03-23,2.22,1.78,2.62,2.0,2.35,2020-09-01 00:00:00
11,11,Portugal,2020-03-24,2.16,1.72,2.52,1.95,2.28,2020-09-01 00:00:00
12,12,Portugal,2020-03-25,2.16,1.77,2.52,1.98,2.29,2020-09-01 00:00:00
13,13,Portugal,2020-03-26,2.07,1.69,2.4,1.86,2.16,2020-09-01 00:00:00
14,14,Portugal,2020-03-27,1.74,1.36,2.05,1.59,1.87,2020-09-01 00:00:00
15,15,Portugal,2020-03-28,1.65,1.29,1.96,1.46,1.74,2020-09-01 00:00:00
16,16,Portugal,2020-03-29,1.38,1.02,1.68,1.22,1.49,2020-09-01 00:00:00
17,17,Portugal,2020-03-30,1.26,0.92,1.57,1.09,1.36,2020-09-01 00:00:00
18,18,Portugal,2020-03-31,1.19,0.84,1.49,1.02,1.29,2020-09-01 00:00:00
19,19,Portugal,2020-04-01,1.07,0.72,1.37,0.89,1.16,2020-09-01 00:00:00
20,20,Portugal,2020-04-02,1.01,0.66,1.31,0.8300000000000001,1.1,2020-09-01 00:00:00
21,21,Portugal,2020-04-03,0.87,0.53,1.18,0.7000000000000001,0.97,2020-09-01 00:00:00
22,22,Portugal,2020-04-04,0.66,0.29,0.96,0.47,0.75,2020-09-01 00:00:00
23,23,Portugal,2020-04-05,0.66,0.31,0.99,0.5,0.78,2020-09-01 00:00:00
24,24,Portugal,2020-04-06,0.79,0.43,1.12,0.6,0.89,2020-09-01 00:00:00
25,25,Portugal,2020-04-07,1.29,0.92,1.6,1.12,1.4,2020-09-01 00:00:00
26,26,Portugal,2020-04-08,1.45,1.08,1.74,1.28,1.55,2020-09-01 00:00:00
27,27,Portugal,2020-04-09,1.4,1.06,1.7,1.22,1.49,2020-09-01 00:00:00
28,28,Portugal,2020-04-10,1.11,0.79,1.42,0.96,1.22,2020-08-26 00:00:00
29,29,Portugal,2020-04-11,0.64,0.29,0.94,0.47,0.74,2020-08-16 05:00:00
30,30,Portugal,2020-04-12,0.33,0.0,0.6,0.13,0.4,2020-08-09 18:00:00
31,31,Portugal,2020-04-13,0.3,0.0,0.59,0.11,0.38,2020-08-09 03:00:00
32,32,Portugal,2020-04-14,0.19,0.0,0.51,0.02,0.26,2020-08-06 21:00:00
33,33,Portugal,2020-04-15,0.7000000000000001,0.3,1.05,0.51,0.8200000000000001,2020-08-17 12:00:00
34,34,Portugal,2020-04-16,0.84,0.45,1.2,0.65,0.96,2020-08-20 09:00:00
35,35,Portugal,2020-04-17,0.99,0.58,1.33,0.79,1.1,2020-08-23 12:00:00
36,36,Portugal,2020-04-18,0.99,0.6,1.34,0.79,1.1,2020-08-23 12:00:00
37,37,Portugal,2020-04-19,1.05,0.66,1.4,0.85,1.16,2020-08-24 18:00:00
38,38,Portugal,2020-04-20,0.97,0.5700000000000001,1.31,0.76,1.07,2020-08-23 02:00:00
39,39,Portugal,2020-04-21,1.0,0.61,1.35,0.79,1.1,2020-08-23 17:00:00
40,40,Portugal,2020-04-22,0.8300000000000001,0.42,1.17,0.63,0.94,2020-08-20 05:00:00
41,41,Portugal,2020-04-23,0.79,0.38,1.14,0.62,0.93,2020-08-19 09:00:00
42,42,Portugal,2020-04-24,0.63,0.2,0.97,0.42,0.74,2020-08-16 01:00:00
43,43,Portugal,2020-04-25,0.55,0.15,0.92,0.33,0.66,2020-08-14 10:00:00
44,44,Portugal,2020-04-26,0.3,0.0,0.65,0.1,0.4,2020-08-09 05:00:00
45,45,Portugal,2020-04-27,0.36,0.0,0.71,0.14,0.46,2020-08-10 11:00:00
46,46,Portugal,2020-04-28,0.39,0.0,0.74,0.17,0.5,2020-08-11 02:00:00
47,47,Portugal,2020-04-29,0.22,0.0,0.61,0.05,0.33,2020-08-07 13:00:00
48,48,Portugal,2020-04-30,0.17,0.0,0.5700000000000001,0.0,0.26,2020-08-06 13:00:00
49,49,Portugal,2020-05-01,0.12,0.0,0.55,0.0,0.24,2020-08-05 12:00:00
50,50,Portugal,2020-05-02,0.0,0.0,0.42,0.0,0.15,2020-08-03 00:00:00
51,51,Portugal,2020-05-03,0.0,0.0,0.41,0.0,0.14,2020-08-03 00:00:00
