date,index,rt_real,cases_by_100k_real
2021-11-04,1565.0,1.77,110.01359751359752
2021-11-05,1566.0,1.48,113.50038850038851
2021-11-06,1567.0,1.17,116.55011655011656
2021-11-07,1568.0,1.0,120.61965811965813
2021-11-08,1569.0,1.06,123.09634809634811
2021-11-09,1570.0,1.41,126.52486402486403
2021-11-10,1571.0,1.68,133.21678321678323
2021-11-11,1572.0,1.67,138.93745143745144
2021-11-12,1573.0,1.42,147.74669774669775
2021-11-13,1574.0,1.1300000000000001,156.53651903651905
2021-11-14,1575.0,1.1,163.52952602952604
2021-11-15,1576.0,1.1400000000000001,168.22066822066824
2021-11-16,1577.0,1.26,180.2933177933178
2021-11-17,1578.0,1.3900000000000001,194.40559440559443
